10000,98,5,22000,-111375.08
10000.0,98.0,20.0,22000.0,27094.091111999998
10000.0,90.0,26.0,26000.0,8902.9818360000008
10000.0,98.0,23.0,16000.0,58295.148714000003
17000.0,92.0,22.0,43000.0,89744.621004000001
20000,50,20,0,167718.60000000001
15000,95,40,19000,-126422.38
10000.0,95.0,30.0,10000.0,-86244.407668
2000.0,98.0,15.0,10000.0,-20120.986432000002
2000.0,92.0,20.0,0.0,1221.701454
20000,50,20,10000,159132.60000000001
20000.0,50.0,20.0,0.0,166866.44435999999
20000.0,50.0,20.0,10000.0,174976.15334399999
20000.0,20.0,20.0,10000.0,114405.012684
20000.0,50.0,30.0,10000.0,-82669.922279999999
20000,50,30,60000,-196465.39999999999
5000.0,50.0,20.0,0.0,32927.37156
5000.0,100.0,30.0,0.0,-45853.148258000001
5000.0,100.0,24.0,0.0,21431.327652
15000.0,50.0,20.0,0.0,-153274.50771000001
30000,5,9,0,32110.02
30000.0,5.0,14.0,0.0,153762.819372
30000.0,10.0,14.0,0.0,154400.88002400001
30000.0,20.0,20.0,0.0,155553.37054199999
30000.0,20.0,18.0,0.0,215417.33357399999
12000.0,50.0,13.5,10000.0,28721.304
30000.0,50.0,13.4,20000.0,76631.895180000007
40000.0,50.0,13.4,25000.0,108359.52552
54300.0,35.0,13.199999999999999,25000.0,165489.790878
75000.0,29.0,12.5,26000.0,209824.14247200001
37000,8,20,4000,68201.291249999995
60000.0,23.0,15.199999999999999,45000.0,288596.50914600003
95000.0,20.0,15.5,54000.0,508835.33953200001
150000.0,20.0,16.649999999999999,55000.0,928418.67705599999
35000,3,19,32000,39537.112500000003
35000.0,10.0,17.0,53000.0,135948.63954599999
55000.0,1.0,16.5,75000.0,155840.59395000001
70000.0,10.0,16.5,85000.0,339773.81477400003
100000.0,12.0,16.5,170000.0,501184.61559
20000,50,18,0,135318.60000000001
35000.0,70.0,22.0,0.0,336576.15396000003
60000.0,85.0,24.0,0.0,470150.23184999998
75000.0,100.0,26.0,0.0,291779.26012799999
120000.0,96.0,22.899999999999999,0.0,992432.61806400004
20000,15,18,110000,10683.349200000001
20000.0,15.0,18.0,125000.0,1783.4952599999999
20000.0,15.0,18.0,110000.0,-10073.95609
20000.0,15.0,18.0,100000.0,19972.031004
20000.0,15.0,18.0,95000.0,18091.811861999999
